Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,4,TGM,25SE,Loamy,MCLO,4,1,10,593.1,0.0,3.2,0.0,0.0,0.0,593.1,37.1,
2013,4,TGM,25SE,Loamy,MCLO,4,1,20,381.6,0.0,3.2,49.5,19.4,0.0,381.6,18.3,
2013,4,TGM,25SE,Loamy,MCLO,4,4,10,0.0,0.0,0.0,0.0,528.0,0.0,0.0,0.0,
2013,4,TGM,25SE,Loamy,MCLO,4,4,20,490.8,0.0,0.0,0.0,100.1,0.0,490.8,117.9,
2013,5,AGM,31W,Loamy,MCLO,1,1,10,456.4,0.0,0.0,43.1,102.3,0.0,456.4,362.2,
2013,5,AGM,31W,Loamy,MCLO,1,1,20,394.5,0.0,0.0,16.1,23.7,0.0,394.5,131.9,
2013,5,AGM,31W,Loamy,MCLO,1,4,10,536.0,0.0,0.0,984.9,43.1,0.0,536.0,64.6,
2013,5,AGM,31W,Loamy,MCLO,1,4,20,34.4,0.0,0.0,1.1,297.6,0.0,34.4,17.2,
2013,5,AGM,31W,Loamy,MCLO,2,1,10,127.0,0.0,0.0,0.0,10.2,0.0,127.0,91.5,
2013,5,AGM,31W,Loamy,MCLO,2,1,20,304.6,0.0,0.0,3.8,30.7,0.0,304.6,57.6,
2013,5,AGM,31W,Loamy,MCLO,2,4,10,262.1,0.0,0.0,0.0,53.3,0.0,262.1,43.6,
2013,5,AGM,31W,Loamy,MCLO,2,4,20,455.3,0.0,0.0,32.3,0.0,0.0,455.3,261.6,
2013,5,AGM,31W,Loamy,MCLO,3,1,10,348.2,0.0,0.0,0.0,21.0,0.0,348.2,182.4,
2013,5,AGM,31W,Loamy,MCLO,3,4,10,542.0,0.0,0.0,0.0,0.0,0.0,542.0,264.8,
2013,5,AGM,31W,Loamy,MCLO,3,4,20,847.7,0.0,0.0,0.0,0.0,0.0,847.7,124.9,
2013,5,AGM,31W,Sandy,MCLO,4,1,10,175.5,0.0,0.0,1046.8,11.3,0.0,175.5,405.8,
2013,5,AGM,31W,Sandy,MCLO,4,1,20,211.5,30.1,0.0,39.3,0.0,0.0,241.6,181.4,
2013,5,AGM,31W,Sandy,MCLO,4,4,10,289.5,0.0,0.0,49.0,9.1,0.0,289.5,265.3,
2013,5,AGM,31W,Sandy,MCLO,4,4,20,333.1,102.8,0.0,87.2,192.7,0.0,435.9,312.2,
2013,5,TGM,31E,Loamy,MCLO,1,1,10,600.1,0.0,0.0,21.5,13.5,0.0,600.1,135.6,
2013,5,TGM,31E,Loamy,MCLO,1,1,20,455.9,0.0,0.0,100.1,0.0,0.0,455.9,133.5,
2013,5,TGM,31E,Loamy,MCLO,1,4,10,256.7,0.0,0.0,18.3,31.2,0.0,256.7,84.5,
2013,5,TGM,31E,Loamy,MCLO,1,4,20,452.1,0.0,0.0,0.0,33.9,0.0,452.1,244.9,
2013,5,TGM,31E,Loamy,MCLO,2,1,10,135.1,4.3,0.0,29.1,0.0,0.0,139.4,103.9,
2013,5,TGM,31E,Loamy,MCLO,2,1,20,446.2,0.0,0.0,9.1,387.5,0.0,446.2,64.0,
2013,5,TGM,31E,Loamy,MCLO,2,4,10,220.7,0.0,0.0,26.9,36.6,0.0,220.7,43.1,
2013,5,TGM,31E,Loamy,MCLO,2,4,20,340.1,0.0,0.0,4.3,16.7,0.0,340.1,93.6,
2013,5,TGM,31E,Loamy,MCLO,3,1,10,474.7,46.3,0.0,68.4,18.8,0.0,521.0,94.7,
2013,5,TGM,31E,Loamy,MCLO,3,1,20,349.3,0.0,0.0,0.0,118.4,0.0,349.3,8.1,
2013,5,TGM,31E,Loamy,MCLO,3,4,20,306.2,0.0,0.0,2.2,15.1,0.0,306.2,53.8,
2013,5,TGM,31E,Sandy,MCLO,4,1,10,251.9,0.0,0.0,5.4,18.8,0.0,251.9,76.4,
2013,5,TGM,31E,Sandy,MCLO,4,1,20,181.4,0.0,0.0,0.0,0.0,0.0,181.4,32.8,
2013,5,TGM,31E,Sandy,MCLO,4,4,10,261.6,0.0,0.0,31.2,49.5,0.0,261.6,34.4,
2013,5,TGM,31E,Sandy,MCLO,4,4,20,173.3,60.8,0.0,0.0,409.0,0.0,234.1,123.2,
2013,6,AGM,18S,Sandy,(blank),1,1,10,359.5,89.9,0.0,28.5,1054.3,0.0,449.4,618.4,
2013,6,AGM,18S,Sandy,(blank),1,1,20,355.2,23.1,0.0,0.0,282.6,0.0,378.4,177.1,
2013,6,AGM,18S,Sandy,(blank),1,4,10,149.6,11.3,0.0,435.9,18.8,0.0,160.9,51.1,
2013,6,AGM,18S,Sandy,(blank),1,4,20,163.1,0.0,0.0,409.0,0.0,0.0,163.1,114.6,
2013,6,AGM,18S,Sandy,(blank),2,1,10,60.8,0.0,0.0,948.8,0.0,0.0,60.8,117.3,
2013,6,AGM,18S,Sandy,(blank),2,1,20,91.5,16.7,0.0,626.5,0.3,0.0,108.2,101.7,
2013,6,AGM,18S,Sandy,(blank),2,4,10,485.5,0.0,0.0,140.5,0.0,73.7,485.5,70.5,
2013,6,AGM,18S,Sandy,(blank),2,4,20,562.4,0.0,0.0,11.8,74.8,0.0,562.4,31.8,
2013,6,AGM,18S,Sandy,(blank),3,1,10,594.2,0.0,0.0,49.0,26.4,0.0,594.2,37.1,
2013,6,AGM,18S,Sandy,(blank),3,1,20,266.4,0.0,0.0,83.4,0.0,0.0,266.4,24.8,
2013,6,AGM,18S,Sandy,(blank),3,4,10,122.2,0.0,0.0,357.9,11.8,0.0,122.2,236.8,
2013,6,AGM,18S,Sandy,(blank),3,4,20,477.9,66.7,0.0,0.0,25.8,33.9,544.7,52.2,
2013,6,AGM,18S,Sandy,(blank),4,1,10,438.1,0.0,0.0,35.0,8.1,0.0,438.1,59.7,
2013,6,AGM,18S,Sandy,(blank),4,1,20,486.0,0.0,0.0,64.6,59.7,246.0,486.0,228.7,
2013,6,AGM,18S,Sandy,(blank),4,4,10,214.7,266.4,0.0,0.0,111.9,0.0,481.1,56.5,
2013,6,AGM,18S,Sandy,(blank),4,4,20,182.4,268.6,0.0,65.1,0.0,0.0,451.0,797.6,
2013,6,TGM,19N,Sandy,(blank),1,1,10,391.8,0.0,0.0,568.3,530.1,0.0,391.8,207.2,
2013,6,TGM,19N,Sandy,(blank),1,1,20,69.4,186.8,0.0,120.0,636.1,0.0,256.2,56.5,
2013,6,TGM,19N,Sandy,(blank),1,4,10,99.0,111.9,0.0,434.3,21.5,0.0,211.0,15.1,
2013,6,TGM,19N,Sandy,(blank),1,4,20,199.1,53.8,0.0,816.4,22.1,0.0,253.0,132.4,
2013,6,TGM,19N,Sandy,(blank),2,1,10,297.6,31.2,0.0,437.6,10.2,211.5,328.8,174.4,
2013,6,TGM,19N,Sandy,(blank),2,1,20,393.4,0.0,0.0,18.8,59.7,0.0,393.4,95.8,
2013,6,TGM,19N,Sandy,(blank),2,4,10,128.1,0.0,0.0,864.3,3.2,0.0,128.1,265.3,
2013,6,TGM,19N,Sandy,(blank),2,4,20,255.6,124.9,0.0,11.3,5.9,0.0,380.5,248.6,
2013,6,TGM,19N,Sandy,(blank),3,1,10,36.1,508.6,0.0,380.0,0.0,0.0,544.7,453.2,
2013,6,TGM,19N,Sandy,(blank),3,1,20,134.0,91.5,0.0,347.7,7.5,0.0,225.5,369.2,
2013,6,TGM,19N,Sandy,(blank),3,4,10,332.1,0.0,0.0,114.6,10.2,0.0,332.1,4.8,
2013,6,TGM,19N,Sandy,(blank),3,4,20,260.5,0.0,0.0,0.0,57.0,0.0,260.5,5.4,
2013,6,TGM,19N,Sandy,(blank),4,1,10,426.3,82.9,0.0,0.0,42.0,0.0,509.1,171.7,
2013,6,TGM,19N,Sandy,(blank),4,1,20,307.8,0.0,0.0,348.8,0.0,93.6,307.8,92.0,
2013,6,TGM,19N,Sandy,(blank),4,4,10,332.1,0.0,0.0,41.4,3.8,0.0,332.1,9.7,
2013,6,TGM,19N,Sandy,(blank),4,4,20,68.4,0.0,0.0,40.9,674.4,0.0,68.4,5.4,
2013,7,AGM,7SE,Loamy,NonMCLO,1,1,10,469.3,0.0,0.0,0.0,143.2,0.0,469.3,21.0,
2013,7,AGM,7SE,Loamy,NonMCLO,1,1,20,926.8,0.0,0.0,0.0,16.1,0.0,926.8,84.0,
2013,7,AGM,7SE,Loamy,NonMCLO,1,4,10,504.8,265.3,0.0,0.0,83.4,0.0,770.2,98.5,
2013,7,AGM,7SE,Loamy,NonMCLO,1,4,20,1102.2,0.0,0.0,72.1,8.1,0.0,1102.2,45.2,
2013,7,AGM,7SE,Loamy,NonMCLO,2,1,10,907.4,65.1,3.2,108.2,100.1,0.0,972.5,94.7,
