"","YearSampled","Pasture","Plot","Transect","Distance","Block","Treatment","Ecosite","PastureSize_ha","X","Y","FGcode","kgPerHa"
"220",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"FORB",56.51
"221",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"SD",1503.18
"222",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"WSPG",1738.37
"223",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"SS",0
"224",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"OTHER",0
"225",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"NA",0
"226",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"AG",0
"227",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"BOBU",352.52
"228",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"C3PG",770.7
"229",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"FORB",495.14
"230",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"SD",256.18
"231",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"WSPG",270.17
"232",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"SS",0
"233",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"OTHER",0
"234",2013,"17N",3,4,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"NA",0
"235",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"AG",0
"236",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"BOBU",2.15
"237",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"C3PG",464.46
"238",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"FORB",0
"239",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"SD",1281.98
"240",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"WSPG",1946.12
"241",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"SS",0
"242",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"OTHER",0
"243",2013,"17N",4,1,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"NA",0
"244",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"AG",0
"245",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"BOBU",19.38
"246",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"C3PG",658.21
"247",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"FORB",0
"248",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"SD",1237.85
"249",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"WSPG",1560.23
"250",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"SS",0
"251",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"OTHER",0
"252",2013,"17N",4,1,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"NA",0
"253",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"AG",57.59
"254",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"BOBU",195.37
"255",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"C3PG",0
"256",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"FORB",5.38
"257",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"SD",104.95
"258",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"WSPG",750.78
"259",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"SS",0
"260",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"OTHER",0
"261",2013,"17N",4,4,"10",9,"TGM","Salt Flats",128.63,526209,4520890,"NA",0
"262",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"AG",6.46
"263",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"BOBU",461.77
"264",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"C3PG",0
"265",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"FORB",0
"266",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"SD",336.91
"267",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"WSPG",554.88
"268",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"SS",0
"269",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"OTHER",0
"270",2013,"17N",4,4,"20",9,"TGM","Salt Flats",128.63,526209,4520890,"NA",0
"271",2013,"17N",5,1,"10",9,"TGM","Sandy",128.63,526500,4520670,"AG",0
"272",2013,"17N",5,1,"10",9,"TGM","Sandy",128.63,526500,4520670,"BOBU",491.91
