ID,PastureCode,Year,YearNum,Rest,SDperHa_June15LastYear_to_June15ThisYear,NumSteers,RotationOrder,TriggerUsed,TriggerUsedID,DateInPasture,DateOutPasture,Days,split_herd,comments,,
288,26W,2021,2021,0,,107,3,Max Days,,7/30/2021,9/9/2021,41,1,herds split,,
289,31W,2021,2021,0,,107,4,Max Days,,9/9/2021,10/2/2021,23,1,herds split,,
290,7SE,2021,2021,0,,107,1,VOR Threshold,,5/21/2021,6/8/2021,18,2,herds split,,
291,NH,2021,2021,0,,107,2,Max Days,,6/8/2021,7/21/2021,43,2,herds split,,
292,25NW,2021,2021,0,,107,3,Max Days,,7/21/2021,9/1/2021,42,2,herds split,,
293,17S,2021,2021,0,,107,4,Max Days,,9/1/2021,10/2/2021,31,2,herds split,,
294,18S,2021,2021,1,,,,,,,,0,,,,
295,20NW,2021,2021,1,,,,,,,,0,,,,
296,15E,2021,2021,,,20,,,,,,,,,,
297,24W,2021,2021,,,20,,,,,,,,,,
298,26E,2021,2021,,,20,,,,,,,,,,
299,25SE,2021,2021,,,20,,,,,,,,,,
300,31E,2021,2021,,,24,,,,,,,,,,
301,19N,2021,2021,,,24,,,,,,,,,,
302,7NW,2021,2021,,,20,,,,,,,,,,
303,5E,2021,2021,,,22,,,,,,,,,,
304,17N,2021,2021,,,22,,,,,,,,,,
305,20SE,2021,2021,,,22,,,,,,,,,,
306,25NW,2022,2022,,,122,1,Burn Threshold,,5/23/2022,6/7/2022,,1,herds split,,
307,31W,2022,2022,,,122,2,VOR Threshold,,6/7/2022,7/7/2022,,1,herds split,,
308,25NW,2022,2022,,,122,3,Stakeholder Vote,Regraze Decision,7/7/2022,7/12/2022,,1,herds split,,
309,26W,2022,2022,,,122,4,Stakeholder Vote,,7/12/2022,7/21/2022,,1,herds split,,
310,7SE,2022,2022,,,122,5,Stakeholder Vote,,7/21/2022,7/31/2022,,1,herds split,,
311,20NW,2022,2022,,,122,1,Max Days,,5/23/2022,6/21/2022,,2,herds split,,
312,18S,2022,2022,,,122,2,Stakeholder Vote,,6/21/2022,7/13/2022,,2,herds split,,
313,17S,2022,2022,,,122,3,Stakeholder Vote,,7/13/2022,7/30/2022,,2,herds split,,
314,15E,2022,2022,,,23,,,,5/23/2022,7/30/2022,,,,,
315,24W,2022,2022,,,23,,,,5/23/2022,7/30/2022,,,,,
316,26E,2022,2022,,,23,,,,5/23/2022,7/30/2022,,,,,
317,25SE,2022,2022,,,23,,,,5/23/2022,7/30/2022,,,,,
318,5E,2022,2022,,,25,,,,5/23/2022,7/30/2022,,,,,
319,7NW,2022,2022,,,23,,,,5/23/2022,7/30/2022,,,,,
320,17N,2022,2022,,,25,,,,5/23/2022,7/30/2022,,,,,
321,19N,2022,2022,,,27,,,,5/23/2022,7/30/2022,,,,,
322,20SE,2022,2022,,,25,,,,5/23/2022,7/30/2022,,,,,
323,31E,2022,2022,,,27,,,,5/23/2022,7/30/2022,,,,,
324,15E,2023,2023,0,,17,,,,5/23/2023,,,,,,double-check these dates
325,24W,2023,2023,0,,17,,,,5/23/2023,,,,,,double-check these dates
326,26E,2023,2023,0,,17,,,,5/23/2023,,,,,,double-check these dates
327,25SE,2023,2023,0,,17,,,,5/23/2023,,,,,,double-check these dates
328,5E,2023,2023,0,,19,,,,5/23/2023,,,,,,double-check these dates
329,7NW,2023,2023,0,,17,,,,5/23/2023,,,,,,double-check these dates
330,17N,2023,2023,0,,19,,,,5/23/2023,,,,,,double-check these dates
331,19N,2023,2023,0,,21,,,,5/23/2023,,,,,,double-check these dates
332,20SE,2023,2023,0,,19,,,,5/23/2023,,,,,,double-check these dates
333,31E,2023,2023,0,,21,,,,5/23/2023,,,,,,double-check these dates
334,21N,2023,2023,0,,77,1,Max Days,,5/23/2023,6/20/2023,,77,herds split,,double-check these dates
335,NH,2023,2023,0,,77,2,,,6/20/2023,,,77,herds split,,double-check these dates
336,18S,2023,2023,0,,107,1,Max Days,,5/23/2023,6/20/2023,,107,herds split,,double-check these dates
337,25NW,2023,2023,0,,107,2,,,6/20/2023,,,107,herds split,,double-check these dates
