Year,Date,Id,iapar,pct_cover,pct_green,pct_litt,pct_bare,pct_sd,abs_green,abs_sd,rel_bare,rel_litt,rel_sd,rel_green,pct_c4_ras,pct_c3_ras,ndvi,dfi,ndti,satvi,ndii7,blue,green,red,nir,swir1,swir2,bai_346,bai_146,bai_136,bai_236,bai_126,bai_246,pct_canopy,abs_cover
2013,2013-06-12,17N_P5_2,52.89236,0.62,0.5,0.24,0.14,0.12,1.08,0.58,0.05785123966942149,0.256198347107438,0.2396694214876033,0.4462809917355372,0.4259740710258484,0.49257592856884,0.3008553,12.14722,0.127386,0.17752366,-0.018324053,781.1871,1048.463,1222.5103,2274.9387,3049.3127,2360.3474,129.61491,136.80861,158.31667,165.98085,151.5264,135.7939,0.62,1.6600000000000001
2013,2013-06-12,17N_P5_3,61.28946,0.72,0.38,0.1,0.18,0.34,1.2,0.94,0.08275862068965517,0.1793103448275862,0.32413793103448274,0.41379310344827586,0.3355722228686015,0.5488907347122828,0.3409048,11.868033,0.13717222,0.1815669,0.026032865,720.89166,999.2966,1123.8358,2289.383,2863.8518,2173.4663,124.67359,133.32431,159.76315,171.61707,149.38332,132.21613,0.72,2.1399999999999997
2013,2013-06-12,17N_P5_4,56.346252,0.6,0.44,0.28,0.12,0.16,0.78,0.38,0.1348314606741573,0.21348314606741572,0.21348314606741572,0.43820224719101125,0.4187277754147847,0.5135722160339355,0.30746362,12.1548815,0.12950812,0.17820145,-0.011095191,758.6782,1035.3267,1195.7588,2258.0398,2995.8801,2309.746,129.0896,136.39865,158.35258,167.54753,150.35153,135.55998,0.44,1.1600000000000001
2013,2013-06-12,17N_P6_1,51.951538,0.54,0.32,0.34,0.12,0.22,0.62,0.7,0.07407407407407407,0.3148148148148148,0.32407407407407407,0.28703703703703703,0.4419499983390172,0.4417722225189209,0.29863203,11.957166,0.12454874,0.17706132,-0.020780213,821.12384,1103.9019,1293.5896,2392.2837,3204.7883,2495.826,128.66165,135.5806,157.20813,164.74501,150.742,134.59349,0.52,1.3199999999999998
2013,2013-06-12,17N_P6_2,61.6581,0.48,0.38,0.16,0.36,0.1,1.04,0.12,0.19801980198019803,0.22772277227722773,0.0594059405940594,0.5148514851485149,0.2891092548767726,0.6276388863722483,0.36152175,13.135808,0.1626782,0.20611644,0.03895973,719.264,983.6009,1091.9468,2334.116,2996.1072,2158.3257,122.44244,131.92519,161.81274,173.96696,150.9695,130.34691,0.48,1.1600000000000001
2013,2013-06-12,17N_P6_3,57.176853,0.62,0.32,0.24,0.14,0.3,0.88,0.7,0.08333333333333333,0.25833333333333336,0.2916666666666667,0.36666666666666664,0.3795981506506602,0.5449351817369461,0.33624193,11.64446,0.13282393,0.1842264,0.015600179,772.6115,1061.3802,1202.5259,2422.0413,3068.4658,2350.009,123.97977,132.36487,159.04604,170.32153,149.34508,131.1849,0.62,1.58
2013,2013-06-12,17N_P6_4,55.05109,0.6599999999999999,0.42,0.24,0.1,0.24,0.88,0.54,0.06306306306306306,0.2972972972972973,0.24324324324324326,0.3963963963963964,0.2676037028431892,0.6811574200789133,0.3533306,13.586617,0.16529517,0.21093328,0.016255563,695.8702,931.3328,1016.4506,2134.8928,2882.9314,2065.188,126.26623,136.39366,164.9916,176.91737,153.97382,134.75397,0.62,1.42
2013,2013-06-12,17S_P1_1,57.722332,0.56,0.4,0.38,0.06,0.16,0.58,0.78,0.04672897196261682,0.3177570093457944,0.3644859813084112,0.27102803738317754,0.6084018448988596,0.2715111076831817,0.33350155,11.224111,0.12651892,0.18310064,0.0057130246,789.9458,1061.899,1206.1041,2416.4102,3078.1445,2386.9768,124.64349,133.22562,160.16626,170.18484,151.29118,131.78267,0.52,1.3599999999999999
2013,2013-06-12,17S_P1_2,53.289215,0.62,0.3,0.32,0.06,0.32,0.62,0.94,0.059322033898305086,0.2796610169491525,0.3983050847457627,0.2627118644067797,0.3473203728596369,0.5740314970413843,0.3017938,12.106052,0.12722038,0.19151358,-0.043528225,807.8271,1048.9249,1207.9534,2254.7869,3175.2246,2458.6648,131.09102,139.05898,161.75354,168.8653,155.38843,137.58537,0.62,1.56
2013,2013-06-12,17S_P1_3,51.672806,0.5800000000000001,0.4,0.28,0.14,0.18,0.82,0.56,0.09174311926605505,0.27522935779816515,0.25688073394495414,0.3761467889908257,,,0.31153023,10.799586,0.11488285,0.17753865,-0.02161766,845.8896,1123.0785,1282.0029,2445.6343,3213.7708,2551.9685,127.193146,135.17722,159.7806,169.08003,151.69238,133.93086,0.58,1.38
