"Year","Pasture","Treatment","Allocation.number","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Date","Weight","Percent_Shrink","Weight_Shrunk","Use_Flag","Outlier_Flag1"
2000,"23E","LTGI_HVY","25",NA,937,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,628,0,628,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,937,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,698,0,698,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,937,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,720,0,720,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,937,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,768,0,768,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,938,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,650,0,650,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,938,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,714,0,714,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,938,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,724,0,724,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,938,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,782,0,782,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,944,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,554,0,554,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,944,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,646,0,646,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,944,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,670,0,670,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,944,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,738,0,738,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,945,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,508,0,508,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,945,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,574,0,574,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,945,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,638,0,638,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,945,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,684,0,684,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,946,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,576,0,576,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,946,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,652,0,652,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,946,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,686,0,686,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,946,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,736,0,736,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,950,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,546,0,546,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,950,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,624,0,624,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,950,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,662,0,662,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,950,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,708,0,708,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,540,0,540,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,528,0,528,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,606,0,606,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,620,0,620,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,648,0,648,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,640,0,640,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,708,0,708,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,951,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,682,0,682,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,952,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,572,0,572,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,952,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,608,0,608,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,952,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,654,0,654,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,952,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,706,0,706,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,954,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,483,0,483,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,954,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,548,0,548,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,954,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,600,0,600,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,954,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,658,0,658,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,903,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,682,0,682,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,903,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,744,0,744,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,903,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,798,0,798,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,903,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,818,0,818,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,906,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,528,0,528,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,906,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,606,0,606,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,906,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,662,0,662,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,906,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,700,0,700,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,911,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,750,0,750,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,911,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,798,0,798,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,911,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,816,0,816,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,911,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,888,0,888,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,913,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,566,0,566,"Yes","good"
2000,"23W","LTGI_LHT","15",NA,913,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,634,0,634,"Yes","good"
