"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"TRM","24W","14",108,2013-05-30,2013-09-28,637.98,916.98,121,279,2.30578512396694
2013,"TRM","24W","14",166,2013-05-30,2013-09-28,584.04,751.44,121,167.4,1.38347107438017
2013,"TRM","24W","14",421,2013-05-30,2013-09-28,544.98,781.2,121,236.22,1.95223140495868
2013,"TRM","24W","14",430,2013-05-30,2013-09-28,554.28,850.02,121,295.74,2.44413223140496
2013,"TRM","24W","14",457,2013-05-30,2013-09-28,664.02,930,121,265.98,2.19818181818182
2013,"TRM","24W","14",466,2013-05-30,2013-09-28,511.5,783.06,121,271.56,2.24429752066116
2013,"TRM","24W","14",514,2013-05-30,2013-09-28,591.48,877.92,121,286.44,2.36727272727273
2013,"TRM","24W","14",522,2013-05-30,2013-09-28,474.3,690.06,121,215.76,1.78314049586777
2013,"TRM","24W","14",523,2013-05-30,2013-09-28,492.9,775.62,121,282.72,2.33652892561983
2013,"TRM","24W","14",525,2013-05-30,2013-09-28,621.24,959.76,121,338.52,2.79768595041322
2013,"TRM","24W","14",700,2013-05-30,2013-09-28,520.8,851.88,121,331.08,2.73619834710744
2013,"TRM","24W","14",720,2013-05-30,2013-09-28,574.74,911.4,121,336.66,2.78231404958678
2013,"TRM","25SE","14",20,2013-05-30,2013-09-28,582.18,833.28,121,251.1,2.07520661157025
2013,"TRM","25SE","14",55,2013-05-30,2013-09-28,531.96,810.96,121,279,2.30578512396694
2013,"TRM","25SE","14",62,2013-05-30,2013-09-28,487.32,770.04,121,282.72,2.33652892561983
2013,"TRM","25SE","14",131,2013-05-30,2013-09-28,567.3,898.38,121,331.08,2.73619834710744
2013,"TRM","25SE","14",139,2013-05-30,2013-09-28,604.5,890.94,121,286.44,2.36727272727273
2013,"TRM","25SE","14",141,2013-05-30,2013-09-28,539.4,786.78,121,247.38,2.04446280991736
2013,"TRM","25SE","14",169,2013-05-30,2013-09-28,504.06,723.54,121,219.48,1.81388429752066
2013,"TRM","25SE","14",183,2013-05-30,2013-09-28,518.94,725.4,121,206.46,1.70628099173554
2013,"TRM","25SE","14",194,2013-05-30,2013-09-28,652.86,918.84,121,265.98,2.19818181818182
2013,"TRM","25SE","14",416,2013-05-30,2013-09-28,589.62,900.24,121,310.62,2.56710743801653
2013,"TRM","25SE","14",422,2013-05-30,2013-09-28,630.54,831.42,121,200.88,1.6601652892562
2013,"TRM","25SE","14",676,2013-05-30,2013-09-28,468.72,775.62,121,306.9,2.53636363636364
2013,"TRM","25SE","14",818,2013-05-30,2013-09-28,572.88,874.2,121,301.32,2.4902479338843
2013,"TRM","25SE","14",838,2013-05-30,2013-09-28,613.8,846.3,121,232.5,1.92148760330579
2013,"TRM","26E","14",26,2013-05-30,2013-09-28,615.66,894.66,121,279,2.30578512396694
2013,"TRM","26E","14",41,2013-05-30,2013-09-28,543.12,766.32,121,223.2,1.84462809917355
2013,"TRM","26E","14",44,2013-05-30,2013-09-28,634.26,900.24,121,265.98,2.19818181818182
2013,"TRM","26E","14",46,2013-05-30,2013-09-28,591.48,967.2,121,375.72,3.10512396694215
2013,"TRM","26E","14",122,2013-05-30,2013-09-28,520.8,770.04,121,249.24,2.0598347107438
2013,"TRM","26E","14",126,2013-05-30,2013-09-28,552.42,851.88,121,299.46,2.47487603305785
2013,"TRM","26E","14",145,2013-05-30,2013-09-28,531.96,835.14,121,303.18,2.50561983471074
