Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
17S,6/24/2015,5,12,32,3,pasm,g,0,3
17S,6/24/2015,5,13,14,3,eref,g,1,
17S,6/24/2015,5,14,12,2,bogr,g,0,2
17S,6/24/2015,5,15,13,1,bogr,b,0,1
17S,6/24/2015,5,16,18,1,bogr,g,0,1
17S,6/24/2015,5,17,12,2,bogr,g,0,2
17S,6/24/2015,5,18,26,9,eref,g,1,
17S,6/24/2015,5,19,8,1,bogr,g,0,1
17S,6/24/2015,5,20,7,1,bogr,g,0,1
17S,6/24/2015,5,21,6,1,bogr,g,0,1
17S,6/24/2015,5,22,18,1,bogr,b,0,1
17S,6/24/2015,5,23,4,2,bogr,g,0,2
17S,6/24/2015,5,24,16,3,bogr,g,0,3
17S,6/24/2015,5,25,14,1,bogr,b,0,1
17S,6/24/2015,6,1,24,8,stco,g,0,8
17S,6/24/2015,6,2,28,10,stco,b,0,10
17S,6/24/2015,6,3,19,8,stco,g,0,8
17S,6/24/2015,6,4,60,19,stco,b,0,19
17S,6/24/2015,6,5,12,1,stco,g,0,1
17S,6/24/2015,6,6,28,3,stco,g,0,3
17S,6/24/2015,6,7,13,1,stco,g,0,1
17S,6/24/2015,6,8,35,1,stco,g,0,1
17S,6/24/2015,6,9,24,2,stco,g,0,2
17S,6/24/2015,6,10,18,2,stco,g,0,2
17S,6/24/2015,6,11,26,3,stco,g,0,3
17S,6/24/2015,6,12,39,5,stco,b,0,5
17S,6/24/2015,6,13,24,3,stco,g,0,3
17S,6/24/2015,6,14,28,3,stco,g,0,3
17S,6/24/2015,6,15,38,2,stco,b,0,2
17S,6/24/2015,6,16,31,3,stco,b,0,3
17S,6/24/2015,6,17,29,8,stco,g,0,8
17S,6/24/2015,6,18,34,6,stco,g,0,6
17S,6/24/2015,6,19,21,3,stco,g,0,3
17S,6/24/2015,6,20,13,2,stco,g,0,2
17S,6/24/2015,6,21,23,1,stco,b,0,1
17S,6/24/2015,6,22,19,4,stco,b,0,4
17S,6/24/2015,6,23,31,5,stco,b,0,5
17S,6/24/2015,6,24,36,6,stco,g,0,6
17S,6/24/2015,6,25,42,10,stco,g,0,10
17S,6/30/2015,5,1,6,1,bogr,g,0,1
17S,6/30/2015,5,2,10,1,bogr,g,0,1
17S,6/30/2015,5,3,7,1,bogr,g,0,1
17S,6/30/2015,5,4,11,1,bogr,g,0,1
17S,6/30/2015,5,5,40,8,bogr,b,0,8
17S,6/30/2015,5,6,38,1,pasm,g,0,1
17S,6/30/2015,5,7,32,9,pasm,g,0,9
17S,6/30/2015,5,8,32,4,pasm,b,0,4
17S,6/30/2015,5,9,31,3,pasm,g,0,3
17S,6/30/2015,5,10,14,4,oppo,g,1,
17S,6/30/2015,5,11,35,3,pasm,g,0,3
17S,6/30/2015,5,12,8,1,bogr,g,0,1
17S,6/30/2015,5,13,5,1,bogr,g,0,1
17S,6/30/2015,5,14,12,3,bogr,g,0,3
17S,6/30/2015,5,15,5,1,bogr,g,0,1
17S,6/30/2015,5,16,8,1,bogr,g,0,1
17S,6/30/2015,5,17,21,4,bogr,g,0,4
17S,6/30/2015,5,18,19,1,bogr,g,0,1
17S,6/30/2015,5,19,16,1,bogr,b,0,1
17S,6/30/2015,5,20,19,3,bogr,g,0,3
17S,6/30/2015,5,21,6,1,bogr,g,0,1
17S,6/30/2015,5,22,21,5,oppo,g,1,
17S,6/30/2015,5,23,6,1,bogr,g,0,1
17S,6/30/2015,5,24,8,1,bogr,g,0,1
